termino,etiqueta,significado,traduccion_1,traduccion_2,traduccion_3,traduccion_4,
Krito,Sustantivo,Figura central del cristianismo.,Cristo,,,,
Krusa,Verbo infinitivo,Atravesar de un lado a otro.,Cruzar,,,,
Kruséno,Imperativo plural,Atravesen de un lado a otro.,Crucen,,,,
Ku,Preposición,"Indica relación, asociación o compañía.",Con,,,,
Kuá,Pronombre,Introduce una pregunta sobre selección.,Cuál,,,,
Kuá kuá,Expresión idiomática,Manifestación de tristeza o duelo.,Lamentación,,,,
Kuagkié,Pronombre,Indica algo indeterminado.,Cualquier,,,,
Kuagriya,Sustantivo,Persona que pertenece a la misma época.,Persona contemporánea,,,,
Kuagro,Sustantivo,Grupo de amigos con intereses comunes.,Grupo organizado de personas de la misma edad,,,,
Kuandi,Pronombre / Interrogativo,Expresión usada para preguntar sobre el tiempo o el momento.,Cuándo,,,,
Kuaterón,Sustantivo,Algo que está en la mitad de algo.,Mitad,,,,
Kuatiyito,Sustantivo,Planta parásita utilizada en la preparación de alimentos.,Planta parásita,,,,
Kuátro,Adjetivo / Numeral,Número que representa el 4.,Cuatro,4,,,
kubá,Verbo infinitivo,Acción de hacer un agujero en la tierra.,Cavar,,,,
Kubéno,Imperativo plural,Hagan un agujero en la tierra.,Caven,,,,
Kubía,Sustantivo,Utensilio para barrer.,Escobilla,,,,
Kuchá,Verbo infinitivo,Acción de prestar atención al sonido.,Escuchar,,,,
Kuchára,Sustantivo,Utensilio utilizado para comer o servir alimentos.,Cuchara,,,,
Kuchéno,Imperativo plural,Presten atención al sonido.,Escuchen,,,,
Kuchío,Sustantivo,Utensilio afilado utilizado para cortar.,Cuchillo,,,,
Kuéppo,Sustantivo,La parte física del ser humano o de los animales.,Cuerpo,,,,
Kufumbé,Verbo infinitivo,"Esconder, ocultar algo o alguien.",Esconder,Ocultar,,,
Kufumbé,Verbo infinitivo,"Esconder, ocultar algo o alguien.",Esconder,Ocultar,,,
Kufumbéno,Imperativo plural,Escondan u oculten algo o a alguien.,Escondan,Oculten,,,
Kuí - kuí,Expresión idiomática,"Sonido de risa, suele indicar diversión o alegría.",Risa / Sonrisa,Carcajada,,,
Kujé,Verbo infinitivo,Acción de tomar o agarrar algo.,Coger,,,,
Kujéleno,Imperativo plural,Tomen o agarren algo en específico.,Cójanlo,,,,
Kujelo,Verbo infinitivo,Tomar o agarrar algo en específico.,Cogerlo,,,,
Kujéno,Imperativo plural,Tomen o agarren algo.,Cogan,,,,
Kukú,Sustantivo,Parásito que se adhiere a la piel de los animales.,Garrapata,,,,
Kukulungú,Sustantivo / Despectivo,Persona que se dedica a actividades sexuales por dinero.,Prostituto,,,,
Kukurusu,Sustantivo,"Tablero, superficie para escribir o anotar.",Tablero,,,,
Kukurutiá,Verbo infinitivo,Acción de inscribir o anotar en un registro.,Registrar,,,,
Kukurutiénono,Imperativo plural,Inscriban o anoten en un registro.,Registren,,,,
Kukuruzú,Sustantivo,Elemento o superficie plana donde se juega o realiza una actividad.,Tablero,,,,
Kula,Sustantivo,Líder religioso o espiritual.,Sacerdote,,,,
Kulá,Verbo infinitivo,Acción de sanar o mejorar la salud de alguien.,Curar,,,,
Kulé,Verbo infinitivo,Correr o moverse rápidamente.,Correr,,,,
Kuléno,Imperativo plural,Sanen o mejoren la salud de alguien.,Curen,,,,
Kuléno,Imperativo plural,Corran o muévanse rápidamente.,Corran,,,,
Kulero,Sustantivo,"Tela utilizada para diversos usos, como la limpieza.",Paño de tela,,,,
Kulufá,Sustantivo,"Desorden, caos o confusión.",Desorden,Caos,Confusión,,
Kumbe,Sustantivo,"Estilo musical de origen africano, común en Colombia.",Cumbia,,,,
Kumbilé,Verbo infinitivo,Engañar o hacer creer algo que no es verdad.,Engañar,,,,
Kumbiléno,Imperativo plural,Engañen o hagan creer algo que no es verdad.,Engañen,,,,
Kumblá,Verbo infinitivo,Acción de adquirir algo a cambio de dinero.,Comprar,,,,
Kumbléno,Imperativo plural,Adquieran algo a cambio de dinero.,Compren,,,,
Kumé,Verbo infinitivo,Acción de ingerir alimentos.,Comer,,,,
Kuméno,Imperativo plural,Ingeran alimentos.,Coman,,,,
Kumína,Sustantivo,Alimento o platillo.,Comida,,,,
Kumo,Conjunción,Usado para hacer una comparación o indicación de modo.,Como,,,,
Kumunirá,Sustantivo / Adjetivo,Referente a un grupo o comunidad.,Comunidad,,,,
Kundá,Verbo infinitivo,Acción de narrar o enumerar algo.,Contar,,,,
Kundéno,Imperativo plural,Narren o enumeren algo.,Cuenten,,,,
Kundí,Verbo infinitivo,Acción de ocultar algo.,Esconder,,,,
Kundíno,Imperativo plural,Oculten algo.,Escondan,,,,
Kuné,Pronombre / Preposición / Verbo,"Indica la compañía de una persona, ya sea masculina o femenina. / Variante de “casarse”, utilizado en contextos verbales con énfasis",Con ella,Con él,Casarse,,
Kunosé,Verbo infinitivo,Acción de llegar a saber o entender algo.,Conocer,,,,
Kunoséno,Imperativo plural,Lleguen a saber o entender algo.,Conozcan,,,,
Kuñáo,Sustantivo,Hermano del cónyuge.,Cuñado,,,,
Kupe,Sustantivo,"Sed, sensación de necesitar beber agua.",Sed,,,,
Kupilambe,Sustantivo/Adjetivo,"Hipócrita, persona falsa o deshonesta.",Hipócrita,,,,
Kurrentén,Sustantivo,Enfermedad caracterizada por evacuaciones líquidas frecuentes.,Diarrea,,,,
Kúsa,Sustantivo,Objeto o asunto que se menciona.,Cosa,,,,
Kusiná,Verbo infinitivo,Preparar alimentos.,Cocinar,,,,
Kusinéno,Imperativo plural,Preparen alimentos.,Cocinen,,,,
Kusubé,Adjetivo,Persona que carece de recursos o que está en situación de pobreza.,Pobre,,,,
Kuti,Verbo infinitivo,"Acción de dar forma o hacer más grande algo, como un cuero.",Curtir,Expandir,,,
Kutíno,Imperativo plural,"Den forma o hagan más grande algo, como un cuero.",Curtan,Expandan,,,
Kuttu,Sustantivo,Refugio o lugar seguro.,Fortaleza,,,,
Kuttuá,Sustantivo,Conjunto de costumbres y hábitos de un grupo cultural.,Cultura,,,,
Kutú,Sustantivo,Propiedad de algo que tiene energía o capacidad de actuar.,Fuerza,,,,
Labá,Verbo infinitivo,Acción de limpiar algo con agua o detergente.,Lavar,,,,
Labandóngo,Sustantivo,Hermano por parte de madre.,Hermano de madre,,,,
Labéno,Imperativo plural,Limpien algo con agua o detergente.,Laven,,,,
Labo,Sustantivo,Parte trasera de un animal o cosa.,Rabo,,,,
Lábo,Sustantivo,Parte trasera de algo o alguien.,Rabo de,,,,
Laggá,Verbo infinitivo,Acción de soltar o dejar ir algo.,Largar,,,,
Laggéno,Imperativo plural,Suelten o dejen ir algo.,Larguen,,,,
Laggo,Adjetivo,De gran longitud o extensión.,Largo,,,,
Lairuá,Sustantivo,Rumor o chisme que se comparte.,Habladuría,,,,
Lambío,Sustantivo,Persona que tiene una actitud relajada o despreocupada.,Anarquista,Relajoso,,,
Lampariá,Verbo infinitivo,Acción de golpear repetidamente.,Golpear,,,,
Lampariéno,Imperativo plural,Golpeen repetidamente.,Golpeen,,,,
Lamperio,Sustantivo,"Preparado para aliviar dolencias, generalmente aplicado en la piel.",Ungüento,,,,
Lanká,Verbo infinitivo,Acción de arrancar o extraer algo de su lugar.,Arrancar,,,,
Lankéno,Imperativo plural,Arranquen o extraigan algo de su lugar.,Arranquen,,,,
Lankonko,Sustantivo,"Celular, teléfono móvil.",Celular,,,,
Láo,Sustantivo,Parte lateral o costado de algo.,Lado,,,,
Laraikú,Sustantivo,Recipiente o plato grande.,Bandeja,,,,
Laríno,Adjetivo,Persona que tiene astucia o es habilidosa.,Astuto,,,,
Lató,Sustantivo,Animal roedor que se encuentra comúnmente en casas.,Ratón,,,,
Léa,Sustantivo,Mujer con la que se tiene una relación de pareja.,Novia,,,,
Lebantá,Verbo infinitivo,"Elevar algo hacia arriba, o crecer.",Levantar,Nacer,Crecer,,
Lebanténo,Imperativo plural,Eleven algo hacia arriba o permitan que crezca.,Levanten,Nazcan,Crezcan,,
Leché,Sustantivo,Líquido blanco producido por las glándulas mamarias.,Leche,,,,
Leita,Adjetivo,Algo o alguien que presenta dificultades o complicaciones.,Problemático,,,,
Lejio,Sustantivo,Región o área geográfica.,Región,,,,
lélo,Sustantivo,Parte del cuerpo humano o animal que se utiliza para señalar.,Dedo,,,,
Lemério,Sustantivo,Sustancia o medicamento utilizado para curar.,Remedio,,,,
Lempujá,Verbo infinitivo,Empujar o mover algo o a alguien con fuerza.,Empujar,,,,
Lempujénono,Imperativo plural,Empujen o muevan algo o a alguien con fuerza.,Empujen,,,,
Lendrá,Verbo infinitivo,Acción de ingresar a un lugar o espacio.,Entrar,,,,
Lendréno,Imperativo plural,Ingresen a un lugar o espacio.,Entren,,,,
Lendro,Sustantivo,En el interior de un lugar o espacio.,Dentro,,,,
Leso,Sustantivo,Oración religiosa que se hace para pedir favores.,Rezo,,,,
Libe,Sustantivo,Estado de estar libre de restricciones.,Libertad,,,,
liberá,Verbo infinitivo,Acción de dar libertad o permitir que algo sea libre.,Liberar,,,,
Liberéno,Imperativo plural,Den libertad o permitan que algo sea libre.,Liberen,,,,
Libettá,Sustantivo,Estado de estar libre de restricciones.,Libertad,,,,
Libettinaje,Sustantivo,"Comportamiento o actitud desordenada, sin respeto por las normas.",Libertinaje,,,,
Líga,Adjetivo,"Completo, en el contexto de comida, algo que está listo o servido.",Completo,,,,
Lilenga,Sustantivo,"Bendición, acción de bendecir o un beneficio divino.",Bendición,,,,
Limbe,Sustantivo,"Labios, parte externa de la boca.",Labios,,,,
Limó,Sustantivo,Fruto cítrico de sabor ácido.,Limón,,,,
Limpiá,Verbo infinitivo,Acción de limpiar o quitar la suciedad.,Limpiar,,,,
Limpiéno,Imperativo plural,Limpien o quiten la suciedad.,Limpien,,,,
Lo ke ,Nexo subordinante,"Conector que introduce cláusulas subordinadas adjetivas, ampliando o determinando un sustantivo en la oración principal.",Lo que,Lo que (relacionante),,,
Lolé,Verbo infinitivo,Sentir dolor o incomodidad.,Doler,,,,
Loléno,Imperativo plural,Sientan dolor o incomodidad.,Duelean,,,,
Lombligo,Sustantivo,Parte del cuerpo humano o animal en el centro de la barriga.,Ombligo,,,,
Lombo,Sustantivo,Nombre de un pájaro negro común en algunas regiones.,Pájaro negro,,,,
Lomo,Sustantivo,"Parte posterior del cuerpo, generalmente en la espalda.",Espalda,,,,
Lompé,Verbo infinitivo,Acción de romper algo o destruirlo.,Romper,,,,
Lompéno,Imperativo plural,Rompan algo o destrúyanlo.,Rompan,,,,
Longulá,Sustantivo,Tipo de broma pesada o pesada burla.,Broma pesada,,,,
Losa,Sustantivo,Flor que generalmente es de color rosa.,Rosa,,,,
Losá,Sustantivo,Terreno cultivado o sembrado.,Terreno cultivado,,,,
Losario,Sustantivo,Oración o conjunto de oraciones religiosas.,Rosario,,,,
Losíta,Sustantivo,Un pequeño sembrado o parcela cultivada.,Sembrado pequeño,,,,
Loyo,Sustantivo,Corriente o cauce pequeño de agua.,Arroyo,,,,
Luchingá,Sustantivo,Fase de la luna cuando va disminuyendo.,Luna menguante,,,,
Luénga,Sustantivo,Órgano que permite la comunicación y la masticación.,Lengua,,,,
Lumba,Sustantivo,Mensaje o comunicación.,Mensaje,,,,
Lumbalú,Sustantivo,Ceremonia o rito relacionado con los muertos.,Rito fúnebre,,,,
Lumbila,Sustantivo,Fase de la luna cuando está llena.,Luna llena,,,,
Lumgumbe,Sustantivo/Adjetivo,"Negro, de color oscuro o etnicidad negra.",Negro,,,,
Luna,Sustantivo,Ciclo menstrual o el astro nocturno.,Menstruación,,,,
Lungá,Verbo infinitivo,"Morir, en el contexto de fallecer o perecer.",Morir,,,,
Lungéno,Imperativo plural,"Muéranse, en el contexto de fallecer o perecer.",Mueran,,,,
Lúngo,Adjetivo,Se refiere a la falta de vello o cabello.,Calvo,Liso,,,
Lungulungú,Sustantivo,Generación o conjunto de personas nacidas en un tiempo similar.,Generación,,,,
Luría,Sustantivo,Parte del cuerpo humano que se encuentra entre la cadera y el pie.,Rodilla,,,,
Lusinga,Sustantivo,"Insecto que emite luz, también conocido como luciérnaga.",Luciérnaga,,,,
Lusio,Adjetivo,Algo que brilla o resplandece con intensidad.,Brillante,,,,
Lutete,Sustantivo,Símbolo o acción que representa el dolor por la pérdida.,Luto,,,,
Lutre,Sustantivo,Relación de vida o de vitalidad.,Lustre,Vital,,,
Ma,Pronombre / Artículo Plural,Se utiliza para marcar el plural o para indicar propiedad.,Artículo plural,,,,
Má,Adverbio,Indica que hay una cantidad superior.,Más,,,,
Maána,Sustantivo,El día siguiente al actual.,Mañana,,,,
Machaká,Verbo infinitivo,"Acción de reparar, componer o entender algo.",Componer,Arreglar,,,
Machakéno,Imperativo plural,"Reparen, compongan o entiendan algo.",Compongan,Arreglen,,,
Macho,Sustantivo,"Persona o animal masculino, especialmente de una especie.",Macho,,,,
Maddesío,Adjetivo,Persona que tiene mala suerte o se encuentra en una situación negativa.,Maldito,Persona con mala suerte,,,
Mae,Sustantivo,Forma coloquial de referirse a la madre.,Mamá,,,,
Mafúfo,Sustantivo,Tipo de guineo pequeño que se cultiva en algunas regiones.,Guineo manzano,Guineo pequeño,,,
Magrugá,Verbo infinitivo,"Levantarse temprano, madrugar.",Madrugar,,,,
Magrugéno,Imperativo plural,Levántense temprano.,Madruguen,,,,
Maí,Sustantivo,Grano de la planta de maíz.,Maíz,,,,
Maílo,Sustantivo,Esposo o pareja hombre en un matrimonio.,Marido,,,,
Maína,Sustantivo,Mujer que asume el rol de madrina.,Madrina,,,,
Majá,Verbo infinitivo,Daño o estropeo de algo.,Dañar,Estropear,,,
Majaná,Sustantivo,"Adolescente, joven de poca edad.",Adolescente,Muchacho,Joven,,
Majáte,Sustantivo,Algo que se realiza sin prisa o de forma relajada.,Mahate,,,,
Majéno,Imperativo plural,Dañen o estropeen algo.,Dañen,Estropeen,,,
Majiá,Sustantivo,Falta de actividad o acción.,Inactividad,,,,
Majojó,Sustantivo,"Gusano comestible, generalmente asociado con algunas costumbres.",Gusano comestible,,,,
Makáko,Sustantivo,"Tipo de ave o pájaro conocido también como ""coroncoro"".",Coroncoro,,,,
Makambó,Sustantivo,Persona que se dedica a la actividad de llevar y traer cosas largas.,Largueros,,,,
Makano,Sustantivo,Tipo de palma usada en algunas zonas.,Palma,,,,
Makaña,Verbo infinitivo,"Trabajar, realizar labores.",Trabajar,,,,
Makañéno,Imperativo plural,Trabajen o realicen labores.,Trabajen,,,,
Makkaró,Sustantivo,Objeto usado para marcar algo o señalar.,Marcador,,,,
Makungurí,Sustantivo,"Variedad de colores, en el contexto de algo colorido.",Colores,,,,
Malá,Verbo infinitivo,Atar o amarrar algo con cuerda o hilo.,Amarrar,,,,
Malafe,Sustantivo,Vino o bebida alcohólica de origen local.,Vino,,,,
Malagána,Sustantivo,Nombre de una planta o hierba de uso local.,Malagana,,,,
Malaindelo,Sustantivo,Madeja o rizo de hilo usado en varios trabajos.,Madeja de hilo,,,,
Maldiojo,Sustantivo,"Cree en el mal de ojo, superstición que afecta a la salud.",Mal de ojo,,,,
Maléno,Imperativo plural,Aten o amarren algo con cuerda o hilo.,Amarren,,,,
Maloló,Sustantivo,Planta medicinal que ayuda a curar fiebre.,Planta medicinal,,,,
Malúko,Adjetivo,Persona o cosa considerada fea o desagradable.,Feo,,,,
Mamflora,Sustantivo,"Término coloquial para describir a una persona considerada femenina, en un contexto negativo.",Marica,,,,
Mampángalo,Sustantivo,Persona que se dedica a hablar o hacer cosas sin importancia.,Persona trivial,,,,
Mampiló,Sustantivo,Persona encargada de remover el pilón o mortero en el trabajo.,Mano del pilón,,,,
Mandá,Verbo infinitivo,Ordenar o dar instrucciones a alguien.,Mandar,,,,
Mandéno,Imperativo plural,Ordenen o den instrucciones a alguien.,Manden,,,,
Mandí,Adjetivo,"Persona simple o tonta, sin mucha inteligencia.",Bobo,Simple,,,
Manguála,Verbo infinitivo,Esconder algo o mantenerlo fuera de la vista.,Ocultar,,,,
Manguáléno,Imperativo plural,Escondan algo o manténganlo fuera de la vista.,Oculten,,,,
Maniná,Verbo infinitivo,"Colgar algo o alguien, especialmente en un contexto local.",Guindar,Maromear,,,
Maninéno,Imperativo plural,"Cuelguen algo o alguien, especialmente en un contexto local.",Guinden,Maromeen,,,
Mánke,Conjunción subordinada,Expresión utilizada para introducir una condición que no impide acción,A pesar de,Aunque,,,
Mano,Sustantivo,Parte del cuerpo humano usada para agarrar objetos.,Mano,,,,
Manoko,Sustantivo,"Tambor, instrumento musical tradicional.",Tambor,,,,
Mañá,Sustantivo,Defecto o imperfección en algo.,Defecto,,,,
Mappechéro,Sustantivo,Persona considerada delincuente o malhechor.,Delincuente,,,,
Marabáya,Adjetivo,Algo considerado insignificante o de poca importancia.,Insignificante,,,,
Marimba,Sustantivo,Instrumento musical de madera con teclas de acero.,Instrumento musical,Teclado,,,
Masimero,Adjetivo,"Persona o cosa inofensiva, ingenua.",Inofensivo,Ingenuo,,,
Máta,Sustantivo,Planta en general.,Planta,,,,
Matabalá,Sustantivo,Nombre de un pez conocido también como bocachico.,Bocachico,,,,
Matechero,Adjetivo,"Persona egoísta, que piensa solo en sí misma.",Egoísta,,,,
Matimbá,Sustantivo,Planta medicinal usada para desinflamar.,Planta medicinal,,,,
Matréro,Sustantivo,Fiera o animal salvaje.,Fiera,Salvaje,,,
Mattingála,Verbo infinitivo,"Hechizar, realizar un acto de magia.",Hechizar,,,,
Mattingaléno,Imperativo plural,Hechicen o realicen un acto de magia.,Hechicen,,,,
Mayúpa,Sustantivo,Pez de agua dulce.,Pez dulce,,,,
Mbaso,Sustantivo,"Vaso, recipiente para líquidos.",Vaso,,,,
Mbila,Sustantivo,"Vida, existencia.",Vida,,,,
Mbino,Sustantivo,"Vino, bebida alcohólica fermentada.",Vino,,,,
Mblaso,Sustantivo,"Brazo, parte del cuerpo humano.",Brazo,,,,
Mblusa,Sustantivo,"Blusa, prenda de vestir para la parte superior.",Blusa,,,,
Mboíto,Sustantivo,"Bollito, pequeño bollo o masa.",Bollito,,,,
Mboka,Sustantivo,Cavidad oral de los seres humanos y animales.,Boca,,,,
Mbola,Sustantivo,"Bola, objeto redondo.",Bola,,,,
Mbosio,Sustantivo,"Bolsillo, compartimento en la ropa.",Bolsillo,,,,
Mboyo,Sustantivo,"Bollo, panecillo o pastel.",Bollo,,,,
Mbraká,Sustantivo,"Avaricia, deseo excesivo de acumular bienes.",Avaricia,,,,
Mbrío,Sustantivo,"Movimiento, acción de moverse o desplazarse.",Movimiento,,,,
Mbulo,Sustantivo,"Burro, animal de carga.",Burro,,,,
Mejorá,Verbo infinitivo,"Mejorar, hacer algo mejor.",Mejorar,,,,
Mejoréno,Imperativo plural,Hagan algo mejor.,Mejoren,,,,
Mekkáo,Sustantivo,"Mercado, lugar de compra y venta.",Mercado,,,,
Memo,Pronombre,"Mismo, en referencia a una persona o cosa.",Mismo,,,,
Mémo,Pronombre,"Misma, de la misma naturaleza o clase.",Misma,,,,
Mendá,Verbo infinitivo,"Mencionar, hablar de algo o alguien.",Mencionar,Nombrar,Mentar,,
Mende,Sustantivo,"Memoria, capacidad de recordar.",Memoria,Mente,,,
Mendéno,Imperativo plural,"Mencionen, hablen de algo o alguien.",Mencionen,Nombren,Mentan,,
Meriasió,Sustantivo,"Mediación, intervención para resolver un conflicto.",Mediación,,,,
Merío,Sustantivo,"Medio, recurso o forma de hacer algo.",Medio,,,,
Mése,Sustantivo,"Meses, plural de mes.",Meses,,,,
Meté,Verbo infinitivo,"Meter, introducir algo en algún lugar.",Meter,,,,
Meténo,Imperativo plural,Introduzcan algo en algún lugar.,Metan,,,,
Mi,Pronombre,"Posesivo de primera persona, mío.",Mía,,,,
Miá,Verbo infinitivo,"Orinar, acción de evacuar orina.",Orinar,,,,
Miéno,Imperativo plural,"Orinen, evacuen orina.",Orinen,,,,
Miero,Sustantivo,"Miedo, sentimiento de temor.",Miedo,,,,
Mika,Sustantivo,"Testículo, parte del cuerpo humano.",Testículo,,,,
Mikambó,Sustantivo,"Persona encarcelada, presa.",Preso,,,,
Miná,Verbo infinitivo,"Mirar, observar.",Mirar,Ver,,,
Minéno,Imperativo plural,Observen o miren.,Miren,Vean,,,
Miní,Verbo infinitivo,"Venir, llegar a un lugar.",Venir,,,,
Mininá,Verbo infinitivo,"Hacer piruetas, maniobrar, hacer malabarismos.",Maniobra,Malabarismo,,,
Mininéno,Imperativo plural,"Hagan piruetas, maniobren o realicen malabarismos.",Maniobren,Hagan malabares,,,
Miníno,Imperativo plural,Lleguen o vengan a un lugar.,Vengan,,,,
Mino,Imperativo singular,El imperativo singular se forma añadiendo el sufijo la palabra mino al radical del verbo en infinitivo.,me,Indicando una orden o solicitud dirigida a una única persona.,,,
Mino,Sufijo,Se usa después del verbo para que la acción recaiga sobre la primera persona (me).,Me (sufijo),,,,
Mirinjú,Sustantivo,"Sandalia, calzado ligero para el pie.",Sandalia,,,,
Mochoroko,Sustantivo,"Niño, infante.",Niño,,,,
Mojarika,Sustantivo,"Almohada, objeto utilizado para dormir.",Almohada,,,,
Mojiganga,Adjetivo,"Algo sin valor o utilidad, algo inútil.",Inútil,,,,
Molé,Verbo infinitivo,"Moler, reducir algo a polvo o pedazos pequeños.",Moler,,,,
Moléno,Imperativo plural,Reduzcan algo a polvo o pedazos pequeños.,Muelan,,,,
Molóngo,Sustantivo,Gusano comestible de las palmeras.,Gusano comestible,,,,
Molóte,Sustantivo,"Desorden, ruido de muchas personas a la vez.",Desorden,Ruidoso,,,
Mon,Pronombre,Se usa antes del verbo para que la acción recaiga sobre la tercera persona singular.,Tercera persona,,,,
MON,Marcador pragmático,"Usado junto con el infinitivo del verbo para expresar una acción imperativa no perfectiva, indicando una invitación o ruego, e incluyendo al hablante en la acción.",,,,,
Moná,Sustantivo,"Niño o niña, hijo o hija.",Niño,Niña,,,
Monasindingo,Sustantivo,"Bebé, niño pequeño.",Bebé,,,,
Monasito,Sustantivo,"Bebé, niño pequeño.",Bebé,,,,
Monde,Sustantivo,"Monte, bosque o área selvática.",Bosque,,,,
Monó,Verbo infinitivo,"Vamos, forma plural de ""ir"".",Vamos,,,,
Monóno,Imperativo plural,"Vayan juntos, forma plural de ""ir"".",Vamos,,,,
Moso,Sustantivo,"Trabajador asalariado, obrero.",Trabajador,Asalariado,Obrero,,
Motiá,Verbo infinitivo,"Peinar, arreglar el cabello.",Peinar,,,,
Motiao,Sustantivo,"Peinado, el acto o resultado de peinar.",Peinado,,,,
Motiéno,Imperativo plural,Peinen o arreglen el cabello.,Peinen,,,,
Motrá,Verbo infinitivo,"Mostrar, exhibir algo a alguien.",Mostrar,Exhibir,,,
Motréno,Imperativo plural,Muestren o exhiban algo a alguien.,Muestren,Exhiban,,,
Mottorio,Adjetivo,"Fúnebre, relacionado con la muerte.",Fúnebre,,,,
Mu,Adverbio,Indica un alto grado o intensidad.,Muy,Extremadamente,Bastante,En gran medida,
Muelajumiao,Sustantivo,"Pez lento, de movimiento lento.",Pez lento,,,,
Mueto,Adjetivo,"Muerto, sin vida.",Muerto,,,,
Mugá,Verbo infinitivo,"Cielo oscuro, nublar, arrugar.",Nublar,Arrugar,,,
Mugéno,Imperativo plural,Nublen o arruguen el cielo.,Nublen,Arruguen,,,
Mujé,Sustantivo,"Mujer, persona femenina.",Mujer,,,,
Mukuño,Sustantivo,"Trampa, mecanismo para atrapar algo.",Trampa,,,,
Mulumba,Adjetivo,"Enfermo sexual, con enfermedades de transmisión sexual.",Enfermo sexual,,,,
Mulúmba,Adjetivo,"Sádico, persona que disfruta haciendo daño a los demás.",Sádico,,,,
Mulumbiá,Verbo infinitivo,"Hacer el amor, tener relaciones sexuales.",Hacer el amor,,,,
Mulumbiéno,Imperativo plural,Hagan el amor o tengan relaciones sexuales.,Hagan el amor,,,,
Muñinga,Sustantivo,"Excremento animal, heces.",Excremento,,,,
Murundú,Sustantivo,"Montón, acumulación de cosas.",Montón,Acumulación,,,
Murungube,Sustantivo,"Rallador, utensilio para rallar alimentos.",Rallador,,,,
Músika,Sustantivo,"Música, arte de organizar sonidos.",Música,,,,
Musukutú,Sustantivo,"Pasta, masa comestible.",Pasta,Masa comestible,,,
Musungú,Sustantivo,"Maíz tostado, preparado a la brasa.",Maíz tostado,,,,
Musungue,Verbo infinitivo,"Azotar, golpear con fuerza.",Azotar,Golpear,,,
Musunguéno,Imperativo plural,Azoten o golpeen con fuerza.,Azoten,Golpeen,,,
Na,Pronombre,"Nada, ausencia de algo.",Nada,,,,
Nárie,Pronombre,"Nadie, ninguna persona.",Nadie,,,,
Narise,Sustantivo,"Nariz, parte del rostro.",Nariz,,,,
Nasé,Verbo infinitivo,"Nacer, el acto de venir al mundo.",Nacer,,,,
Naséno,Imperativo plural,"Nacidos, el acto de venir al mundo.",Nazcan,,,,
Nbasí,Sustantivo,"Vasija, recipiente utilizado para contener líquidos o sólidos.",Vasija,,,,
Nblasa,Sustantivo,"Brasa, parte de un fuego que permanece caliente.",Brasa,,,,
Nbláso,Sustantivo,"Brazo, extremidad superior del cuerpo.",Brazo,,,,
Nblélo,Sustantivo,"Bleo, planta comestible, similar a la espinaca.",Bleo,Planta comestible,,,
Nboló,Sustantivo,"Bastón, palo largo que se usa para caminar o como arma.",Bastón,,,,
Nbosá,Sustantivo,"Bozal, objeto que se coloca en la boca de un animal para evitar que muerda.",Bozal,,,,
Nbóso,Sustantivo,"Voz, sonido producido por los humanos al hablar.",Voz,,,,
Nbóyo,Sustantivo,"Bollo, masa cocida que suele ser redonda o alargada.",Bollo,,,,
Nbúlo,Sustantivo,"Burro, animal de carga de la familia de los équidos.",Burro,,,,
Ndá,Verbo infinitivo,"Dar, transferir algo a otra persona.",Dar,,,,
Ndáno,Imperativo plural,Den o transfieran algo a otra persona.,Den,,,,
Ndo,Número,"Dos, cantidad de elementos duplicada.",Dos,,,,
Ndó,Pronombre,"Dos, número que representa el valor de dos unidades.",Dos,,,,
Ndoló,Sustantivo,"Dolor, sensación de sufrimiento físico o emocional.",Dolor,,,,
Ndondá,Sustantivo,"Idiota, persona tonta o de poco juicio.",Idiota,Tonto,,,
Ndruku,Verbo infinitivo,"Tragar ligero, comer o beber con poca cantidad.",Tragar ligero,,,,
Ndruku ndruku,Verbo infinitivo,"Tomar líquido rápidamente, beber de una vez.",Beber rápido,,,,
Ndruku ndrukuéno,Imperativo plural,Beban rápidamente o tomen líquido de una vez.,Beben rápido,,,,
Ndrukuéno,Imperativo plural,"Tragen ligero, coman o beban con poca cantidad.",Traigan ligero,,,,
Ndrumí,Verbo infinitivo,"Dormir, estar en reposo durante la noche o el día.",Dormir,,,,
Ndrumíno,Imperativo plural,Duerman o estén en reposo durante la noche o el día.,Duerman,,,,
Ndulá,Verbo infinitivo,"Durar, mantenerse en una condición durante un tiempo.",Durar,,,,
Nduláéno,Imperativo plural,Duren o manténganse en una condición durante un tiempo.,Duren,,,,
Ndúlo,Adjetivo,"Duro, algo que no es blando o flexible.",Duro,,,,
Ndumba,Sustantivo,"Virgen, persona que no ha tenido relaciones sexuales.",Virgen,,,,
Ndungo,Adjetivo,"Picante, que tiene un sabor fuerte debido a especias.",Picante,,,,
Nduse,Adjetivo,"Dulce, que tiene un sabor agradable y suave.",Dulce,,,,
Néngue,Adjetivo,"Débil, de poca fuerza o resistencia.",Débil,Delgada,Flaca,,
Neta,Sustantivo,"Nieta, hija de los hijos.",Nieta,,,,
Nfindá,Sustantivo,"Bosque, área con muchos árboles y vegetación.",Bosque,,,,
Ngabote,Sustantivo,"Gambote, tipo de arbusto o planta.",Gambote,,,,
Ngachá,Verbo infinitivo,"Agachar, inclinarse o bajar la cabeza o el cuerpo.",Agachar,,,,
Ngachéno,Imperativo plural,Agachen o inclinen la cabeza o el cuerpo.,Agachen,,,,
